cols[0],v,cols[2],d,価格,当日保守,翌日保守,センドバック,pop
DISK,3,2T,2TB  (C約300GB、D残り) ,24690,1490,1490,1490,ディスクが多めだが安いモデル
DISK,4,1T,1TB  (C約304GB、D残り),18440,1120,1120,1120,ディスクが少ないモデル 論理パーティションは２つにわけて運用
DRV,0,DVD,スーパーマルチDVD,5590,570,570,570,標準モデル<br/>※Linux-OS搭載時はDVD-ROMとして動作
DRV,1,BD,BlueRayDisk,19440,1950,1950,1950,大容量の BlueRaｙモデル。バックアップのおすすめはディスクです。
OS,0,Windows7,Windows 7 Professional SP1 (64bit・メディア付),29000,0,0,0,現在はこのパターンのみ、ServerOSなど別途相談してください。<br/>※その他のOSを搭載時は別途お見積<br/>※単体販売及びLinux-OSでの販売は出来ません。
OFFICE,0,なし,なし,0,0,0,0,Office 2010以外のバージョンは別途ご相談ください。<br/> Office 365など <br/><br/>※その他のOSを搭載時は別途お見積<br/>※単体販売及びLinux-OSでの販売は出来ません。
OFFICE,1,OFFICE2010,Office Home and Business 2010 DSP版  （メディア付）,32400,0,0,0,最近のOfficeはメディアなしが多いです<br/>メディアもご提供します
JOB,0,なし,なし,0,0,0,0,コメントなし未記入
JOB,1,PBSProfeesional,JOB管理／アルテアエンジニアリング PBS Professional  (サポート無し),9000,1580,1580,1580,"PBSはコア数分必要です。<br/><font color=""#FFFFFF"" >ARD保守対象外製品／ﾒｰｶｰ無償ｻﾎﾟｰﾄ無し</font>"
KBM,0,スクロールマウス,キーボード/スクロールマウス (USB黒3年メーカー保証),3320,0,0,0,標準モデル Microsoftのキーボードとスクロールマウス
KBM,1,なし,,0,0,0,0,お客様で準備ください
KBM,2,3ボタン,キーボード/3ボタンマウス (USB黒1年センドバック保証),8130,0,0,0,3ボタンは手に入らないです。<br/>MicrosoftのSurfaceマウスです。なんでこんなこと書く。
MON1,0,24inch,24インチワイド (黒本体3年/液晶1年メーカー保証),36500,0,0,0,"標準　<br/><font color=""#FFFFFF"" > ARD保守対象外製品／メーカー無償保証のみ</font>"
MON1,1,なし,なし,0,0,0,0,お客様でご用意ください。
MON1,2,27inch,27インチワイド (黒本体3年/液晶1年メーカー保証),43400,0,0,0,Pre/Post利用では便利です
MON1,3,23inch,23インチワイド (黒本体3年/液晶1年メーカー保証),28800,0,0,0,どのような用途を想定？
MON1,4,21inch,21インチワイド (黒本体3年/液晶2年メーカー保証),24500,0,0,0,どのような用途を想定？
MON1,5,17inch,17インチスクエア (黒本体3年/液晶3年メーカー保証),21100,0,0,0,サーバー用途でモニタ用の場合にはこちらでよいかもしれません。
MON2,0,なし,なし,0,0,0,0,2台目なし
MON2,1,27inch,27インチワイド (黒本体3年/液晶1年メーカー保証),43400,0,0,0,2代目も大画面 置き場所に注意ください。スペースが必要です
MON2,2,24inch,24インチワイド (黒本体3年/液晶1年メーカー保証),36500,0,0,0,置き場所のスペース確保をお願いします
MON2,3,23inch,23インチワイド (黒本体3年/液晶1年メーカー保証),28800,0,0,0,置き場所のスペース確保をお願いします
MON2,4,21inch,21インチワイド (黒本体3年/液晶2年メーカー保証),24500,0,0,0,置き場所のスペース確保をお願いします
MON2,5,17inch,17インチスクエア (黒本体3年/液晶3年メーカー保証),21100,0,0,0,置き場所のスペース確保をお願いします
STND,0,なし,なし,0,0,0,0,モニターアーム
STND,1,2画面,液晶モニタ昇降スタンドx2 (黒2年ﾒｰｶ-保証),28200,0,0,0,モニターアーム2台つけられるもの
STND,2,1画面,液晶ﾓﾆﾀ昇降スタンドx1 (黒3年ﾒｰｶ-保証),14100,0,0,0,モニターアーム1台つけられるもの
UPS,0,なし,なし,0,0,0,0,無停電装置です。雷が多い地域などにおすすめ。<br/> 
UPS,1,1KVA-900W,1KVA-900WｲﾝﾊﾞｰﾀUPS  (黒2年ﾒｰｶ-保証),99400,0,0,0,無停電装置です。雷が多い地域などにおすすめ。<br/> 
MANT,0,センドバック,本体センドバック保守 （平日9-17/国内),0,0,0,0,※データ及びソフトウェアのバックアップは全てお客様責任とし、<br/>保守期間中のPC本体障害に伴う、弊社作業及びｘｘｘｘの責務の範囲は、<br/>PC本体ハードウェア修理（機能復旧）及び<br/>お客様ご保管OSﾒﾃﾞｨｱからのOS基本導入作業までとし<br/>如何なる場合も、データ、ソフトウェア、OS・ソフトウェアの設定<br/>及び、お客様の業務上の損害は一切保証致しません。
MANT,1,翌日,本体翌日オンサイト保守 （平日9-17/国内）,0,0,0,0,※データ及びソフトウェアのバックアップは全てお客様責任とし、<br/>保守期間中のPC本体障害に伴う、弊社作業及びｘｘｘｘの責務の範囲は、<br/>PC本体ハードウェア修理（機能復旧）及び<br/>お客様ご保管OSﾒﾃﾞｨｱからのOS基本導入作業までとし<br/>如何なる場合も、データ、ソフトウェア、OS・ソフトウェアの設定<br/>及び、お客様の業務上の損害は一切保証致しません。
MANT,2,当日,本体当日オンサイト保守 （平日9-17/東海3県+浜松）,0,0,0,0,※データ及びソフトウェアのバックアップは全てお客様責任とし、<br/>保守期間中のPC本体障害に伴う、弊社作業及びｘｘｘｘの責務の範囲は、<br/>PC本体ハードウェア修理（機能復旧）及び<br/>お客様ご保管OSﾒﾃﾞｨｱからのOS基本導入作業までとし<br/>如何なる場合も、データ、ソフトウェア、OS・ソフトウェアの設定<br/>及び、お客様の業務上の損害は一切保証致しません。
SETUP,0,なし,軒下渡し ,0,0,0,0,郵送または、営業がおとどけします。
SETUP,1,あり,現地 設定,0,89000,220000,220000,技術員がおとどけして現地調整設定を行います。<br/> 保守により価格が変わります <br/> 4台までは同一価格 4台以上は別途見積もり<br/> 
